Id,Currency
1,Currency Token Test Token 1
2,Currency Token Test Token 2
42,Badge of Justice
61,Dalaran Jewelcrafter's Token
81,Dalaran Cooking Award
241,Champion's Seal
103,Arena Points
104,Honor Points DEPRECATED
121,Alterac Valley Mark of Honor
122,Arathi Basin Mark of Honor
123,Eye of the Storm Mark of Honor
124,Strand of the Ancients Mark of Honor
125,Warsong Gulch Mark of Honor
126,Wintergrasp Mark of Honor
161,Stone Keeper's Shard
181,Unk
201,Venture Coin
321,Isle of Conquest Mark of Honor
4,Currency Token Test Token 3
101,Emblem of Heroism
102,Emblem of Valor
221,Emblem of Conquest
301,Emblem of Triumph
341,Emblem of Frost
22,Birmingham Test Item 3
141,zzzOLDDaily Quest Faction Token
